Timestamp,Shift,Day_of_Week,Machine_ID,Model_Type,Production_Count,Defective_Count,Downtime_Min
2024-10-21 07:00,1,Monday,M1,V6,46,0.0,5.0
2024-10-21 07:00,1,Monday,M2,V8,42,0.0,0.0
2024-10-21 07:00,1,Monday,M3,EV-1,32,0.0,0.0
2024-10-21 08:00,1,Monday,M1,V6,42,1.0,0.0
2024-10-21 08:00,1,Monday,M2,V8,40,1.0,0.0
2024-10-21 08:00,1,Monday,M3,EV-1,34,0.0,0.0
2024-10-21 09:00,1,Monday,M1,V6,40,0.0,0.0
2024-10-21 09:00,1,Mon,M2,V8,37,0.0,0.0
2024-10-21 09:00,1,Monday,M3,EV-1,29,0.0,0.0
2024-10-21 10:00,1,Monday,M1,V6,46,1.0,0.0
2024-10-21 10:00,1,Monday,M2,V8,18,0.0,21.0
2024-10-21 10:00,1,Monday,M3,EV-1,31,0.0,0.0
2024-10-21 11:00,1,Monday,M1,V6,42,0.0,10.0
2024-10-21 11:00,1,Monday,M2,V8,42,0.0,5.0
2024-10-21 11:00,1,Monday,M3,EV-1,28,0.0,0.0
2024-10-21 12:00,1,Monday,M1,V6,49,0.0,0.0
2024-10-21 12:00,1,Monday,M2,V8,38,,0.0
2024-10-21 12:00,1,Monday,M3,EV-1,31,0.0,0.0
2024-10-21 13:00,1,Monday,M1,V6,44,0.0,0.0
2024-10-21 13:00,1,Monday,M2,V8,39,1.0,0.0
2024-10-21 13:00,1,Monday,M3,EV-1,33,0.0,0.0
2024-10-21 14:00,1,Monday,M1,V6,48,1.0,10.0
2024-10-21 14:00,1,Monday,M2,V8,42,1.0,0.0
2024-10-21 14:00,1,Monday,M3,EV-1,27,0.0,5.0
2024-10-21 15:00,2,Mon,M1,V6,49,0.0,0.0
2024-10-21 15:00,2,Monday,M2,V8,41,0.0,5.0
2024-10-21 15:00,2,Monday,M3,EV-1,31,0.0,0.0
2024-10-21 16:00,2,Monday,M1,V6,42,0.0,
2024-10-21 16:00,2,Monday,M2,V8,18,0.0,33.0
2024-10-21 16:00,2,Mon,M3,EV-1,29,0.0,0.0
2024-10-21 17:00,2,Monday,M1,V6,46,0.0,0.0
2024-10-21 17:00,2,Monday,M2,V8,22,,26.0
2024-10-21 17:00,2,Monday,M3,EV-1,28,0.0,10.0
2024-10-21 18:00,2,Monday,M1,V6,43,0.0,10.0
2024-10-21 18:00,2,Monday,M2,V8,37,1.0,0.0
2024-10-21 18:00,2,Monday,M3,EV-1,33,0.0,0.0
2024-10-21 19:00,2,Monday,M1,V6,43,0.0,5.0
2024-10-21 19:00,2,Monday,M2,V8,44,1.0,0.0
2024-10-21 19:00,2,Monday,M3,EV-1,25,0.0,0.0
2024-10-21 20:00,2,Monday,M1,V6,43,0.0,0.0
2024-10-21 20:00,2,Monday,M2,V8,40,0.0,0.0
2024-10-21 20:00,2,Monday,M3,EV-1,27,0.0,0.0
2024-10-21 21:00,2,Monday,M1,V6,45,0.0,0.0
2024-10-21 21:00,2,Monday,M2,V8,38,1.0,0.0
2024-10-21 21:00,2,Monday,M3,EV-1,31,0.0,0.0
2024-10-21 22:00,2,Monday,M1,V6,40,0.0,10.0
2024-10-21 22:00,2,Monday,M2,V8,18,0.0,24.0
2024-10-21 22:00,2,Monday,M3,EV-1,25,0.0,0.0
2024-10-21 23:00,3,Monday,M1,V6,49,0.0,10.0
2024-10-21 23:00,3,Monday,M2,V8,38,0.0,0.0
2024-10-21 23:00,3,Monday,M3,EV-1,30,0.0,0.0
2024-10-22 00:00,3,Tuesday,M1,V6,45,1.0,0.0
2024-10-22 00:00,3,Tuesday,M2,V8,35,1.0,0.0
2024-10-22 00:00,3,Tuesday,M3,EV-1,27,0.0,0.0
2024-10-22 01:00,3,Tuesday,M1,V6,42,1.0,5.0
2024-10-22 01:00,3,Tuesday,M2,V8,38,1.0,0.0
2024-10-22 01:00,3,Tuesday,M3,EV-1,31,0.0,10.0
2024-10-22 02:00,3,Tuesday,M1,V6,48,1.0,0.0
2024-10-22 02:00,3,Tuesday,M2,V8,44,1.0,0.0
2024-10-22 02:00,3,Tuesday,M3,EV-1,33,0.0,0.0
2024-10-22 03:00,3,Tuesday,M1,V6,40,3.0,0.0
2024-10-22 03:00,3,Tuesday,M2,V8,39,1.0,5.0
2024-10-22 03:00,3,Tuesday,M3,EV-1,27,2.0,5.0
2024-10-22 04:00,3,Tue,M1,V6,47,4.0,0.0
2024-10-22 04:00,3,Tuesday,M2,V8,38,4.0,0.0
2024-10-22 04:00,3,Tuesday,M3,EV-1,28,0.0,0.0
2024-10-22 05:00,3,Tuesday,M1,V6,48,0.0,0.0
2024-10-22 05:00,3,Tuesday,M2,V8,36,4.0,0.0
2024-10-22 05:00,3,Tuesday,M3,EV-1,28,0.0,5.0
2024-10-22 06:00,3,Tuesday,M1,V6,44,1.0,0.0
2024-10-22 06:00,3,Tuesday,M2,V8,42,3.0,5.0
2024-10-22 06:00,3,Tuesday,M3,EV-1,27,0.0,0.0
2024-10-22 07:00,1,Tuesday,M1,V6,45,0.0,10.0
2024-10-22 07:00,1,Tuesday,M2,V8,42,1.0,0.0
2024-10-22 07:00,1,Tuesday,M3,EV-1,25,0.0,0.0
2024-10-22 08:00,1,Tuesday,M1,V6,42,0.0,0.0
2024-10-22 08:00,1,Tuesday,M2,V8,35,0.0,10.0
2024-10-22 08:00,1,Tuesday,M3,EV-1,30,0.0,0.0
2024-10-22 09:00,1,Tuesday,M1,V6,47,0.0,0.0
2024-10-22 09:00,1,Tuesday,M2,V8,18,0.0,58.0
2024-10-22 09:00,1,Tuesday,M3,EV-1,31,0.0,0.0
2024-10-22 10:00,1,Tuesday,M1,V6,41,1.0,0.0
2024-10-22 10:00,1,Tuesday,M2,V8,22,0.0,47.0
2024-10-22 10:00,1,Tuesday,M3,EV-1,30,0.0,0.0
2024-10-22 11:00,1,Tuesday,M1,V6,49,1.0,5.0
2024-10-22 11:00,1,Tuesday,M2,V8,35,0.0,0.0
2024-10-22 11:00,1,Tuesday,M3,EV-1,34,0.0,5.0
2024-10-22 12:00,1,Tuesday,M1,V6,48,0.0,0.0
2024-10-22 12:00,1,Tuesday,M2,V8,41,1.0,0.0
2024-10-22 12:00,1,Tuesday,M3,EV-1,27,0.0,0.0
2024-10-22 13:00,1,Tuesday,M1,V6,41,0.0,0.0
2024-10-22 13:00,1,Tuesday,M2,V8,37,0.0,0.0
2024-10-22 13:00,1,Tuesday,M3,EV-1,34,0.0,5.0
2024-10-22 14:00,1,Tuesday,M1,V6,49,0.0,5.0
2024-10-22 14:00,1,Tuesday,M2,V8,39,0.0,0.0
2024-10-22 14:00,1,Tuesday,M3,EV-1,29,0.0,0.0
2024-10-22 15:00,2,Tuesday,M1,V6,43,0.0,0.0
2024-10-22 15:00,2,Tuesday,M2,V8,42,1.0,5.0
2024-10-22 15:00,2,Tuesday,M3,EV-1,27,0.0,5.0
2024-10-22 16:00,2,Tuesday,M1,V6,49,0.0,0.0
